game_name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,rating,fk_publisher_id,fk_developer_id
Arctic Thunder,PS2,2001,Racing,0.17,0.14,0.0,0.05,0.36,45.0,23.0,5.3,10.0,T,40,749
NHL 2K10,PS2,2009,Sports,0.17,0.14,0.0,0.05,0.36,,,8.5,4.0,E10+,3,750
J-League Pro Soccer Club o Tsukurou!,DC,1999,Sports,0.0,0.0,0.36,0.0,0.36,,,,,,9,2
ESPN: Sports Connection,WiiU,2012,Sports,0.2,0.12,0.0,0.03,0.36,31.0,13.0,2.7,18.0,E,6,13
Digging for Dinosaurs,DS,2010,Action,0.33,0.0,0.0,0.02,0.36,,,,,E,118,751
Formula 1 Championship Edition,PS,1997,Racing,0.06,0.04,0.23,0.02,0.36,,,,,,85,2
Shrek,XB,2001,Platform,0.25,0.1,0.0,0.01,0.36,49.0,19.0,5.4,9.0,T,71,477
Dragon's Crown,PSV,2013,Role-Playing,0.14,0.05,0.12,0.05,0.35,78.0,15.0,8.4,198.0,T,131,568
Thief (2014),PS3,2014,Action,0.1,0.17,0.02,0.05,0.35,,,,,,16,2
Blasto,PS,1998,Action,0.2,0.13,0.0,0.02,0.35,,,,,,4,2
Wipeout 2048,PSV,2012,Racing,0.13,0.17,0.0,0.05,0.35,79.0,63.0,8.2,191.0,E10+,4,383
Wonder Pets! Save the Animals!,DS,2008,Adventure,0.33,0.0,0.0,0.02,0.35,,,,,,3,2
Backyard Baseball 2006,GBA,2005,Sports,0.25,0.09,0.0,0.01,0.35,,,,,,11,2
Cabela's Outdoor Adventures (2006),PS2,2005,Sports,0.17,0.14,0.0,0.05,0.35,,,8.9,17.0,T,84,288
Trauma Center: Under the Knife,DS,2005,Simulation,0.3,0.01,0.02,0.03,0.35,81.0,45.0,8.7,45.0,T,1,752
Press Your Luck 2010 Edition,Wii,2009,Misc,0.33,0.0,0.0,0.03,0.35,,,,,E,6,462
Nicktoons: Unite!,GC,2005,Adventure,0.27,0.07,0.0,0.01,0.35,,,,,,29,2
Farming Simulator 2015,PS4,2015,Simulation,0.1,0.2,0.0,0.06,0.35,,,,,,101,2
Earth Defense Force 2025,PS3,2013,Shooter,0.04,0.02,0.27,0.01,0.35,69.0,28.0,7.5,52.0,M,58,753
Middle-Earth: Shadow of Mordor,PC,2014,Action,0.12,0.2,0.0,0.03,0.35,84.0,17.0,8.0,1671.0,M,20,125
Suikoden V,PS2,2006,Role-Playing,0.08,0.06,0.19,0.02,0.35,76.0,43.0,7.6,109.0,T,15,70
Picross 2,GB,1996,Puzzle,0.0,0.0,0.35,0.0,0.35,,,,,,1,2
SOCOM: Tactical Strike,PSP,2007,Shooter,0.32,0.01,0.0,0.03,0.35,,,,,,4,2
Farming Simulator 2015,X360,2015,Simulation,0.22,0.11,0.0,0.03,0.35,,,,,,101,2
Tiger Woods PGA Tour 14,X360,2013,Sports,0.21,0.12,0.0,0.03,0.35,77.0,28.0,6.2,26.0,E,8,58
Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013,Action,0.0,0.0,0.35,0.0,0.35,,,,,,26,2
U-Sing,Wii,2009,Misc,0.0,0.32,0.0,0.03,0.35,,,,,,52,2
Outlaw Golf 2,PS2,2004,Sports,0.17,0.14,0.0,0.05,0.35,63.0,20.0,,,M,63,754
Momotarou Dentetsu 12,PS2,2003,Misc,0.0,0.0,0.35,0.0,0.35,,,,,,68,2
LocoRoco 2,PSP,2008,Platform,0.21,0.09,0.01,0.04,0.35,85.0,55.0,8.4,44.0,E,4,234
Football Manager Handheld 2010,PSP,2009,Sports,0.0,0.26,0.0,0.09,0.35,69.0,10.0,6.9,7.0,E,9,272
Disney's Tarzan: Return to the Jungle,GBA,2002,Action,0.25,0.09,0.0,0.01,0.35,68.0,8.0,,,E,5,81
Batman: Rise of Sin Tzu,PS2,2003,Action,0.17,0.13,0.0,0.05,0.35,63.0,21.0,8.3,14.0,T,6,53
Cabela's Dangerous Hunts,XB,2003,Sports,0.26,0.08,0.0,0.01,0.35,,,9.1,22.0,T,84,566
AMF Bowling World Lanes,Wii,2008,Sports,0.33,0.0,0.0,0.03,0.35,,,1.1,10.0,E,7,755
Kinectimals: Now with Bears!,X360,2011,Misc,0.27,0.06,0.0,0.03,0.35,,,,,,2,2
G-Force,PSP,2009,Action,0.24,0.06,0.0,0.05,0.35,,,8.8,4.0,E10+,8,615
Worms: Open Warfare 2,DS,2007,Strategy,0.07,0.24,0.0,0.04,0.35,81.0,25.0,9.1,22.0,E10+,29,674
Jikkyou Powerful Pro Yakyuu 13,PS2,2006,Sports,0.0,0.0,0.35,0.0,0.35,,,,,,15,2
Dark Void,PS3,2010,Action,0.18,0.12,0.0,0.05,0.35,59.0,50.0,6.0,36.0,T,13,756
Guitar Hero: Smash Hits,PS3,2009,Misc,0.2,0.11,0.0,0.05,0.35,73.0,34.0,7.2,9.0,T,5,186
Mega Man X3,SNES,1995,Action,0.04,0.01,0.3,0.0,0.35,,,,,,151,2
Stunt Race FX,SNES,1993,Racing,0.0,0.0,0.35,0.0,0.35,,,,,,1,2
NHL 2K10,Wii,2009,Sports,0.32,0.01,0.0,0.03,0.35,79.0,8.0,6.8,16.0,E10+,3,750
Bloody Roar 3,PS2,2001,Fighting,0.15,0.11,0.05,0.04,0.35,71.0,20.0,8.6,34.0,T,18,666
WWE Crush Hour,PS2,2003,Racing,0.17,0.13,0.0,0.04,0.35,56.0,13.0,5.3,8.0,T,29,508
Persona 2: Eternal Punishment,PS,2000,Role-Playing,0.03,0.02,0.28,0.02,0.35,83.0,11.0,8.4,25.0,T,91,464
Homefront: The Revolution,PS4,2016,Shooter,0.06,0.21,0.03,0.05,0.35,48.0,43.0,3.8,212.0,M,42,757
Assassin's Creed III,WiiU,2012,Action,0.19,0.13,0.0,0.03,0.35,85.0,26.0,7.1,216.0,M,6,105
One Piece: Burning Blood,PS4,2016,Fighting,0.11,0.13,0.07,0.05,0.35,66.0,45.0,7.8,49.0,T,26,702
Star Wars: Flight of the Falcon,GBA,2003,Action,0.25,0.09,0.0,0.01,0.35,39.0,13.0,5.8,11.0,E,29,317
One Piece: Gigant Battle 2 Shin Sekai,DS,2011,Fighting,0.0,0.0,0.35,0.0,0.35,,,,,,26,2
Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009,Fighting,0.33,0.0,0.0,0.03,0.35,67.0,34.0,8.2,21.0,E10+,6,10
Toukiden: The Age of Demons,PSV,2013,Action,0.04,0.04,0.25,0.02,0.35,71.0,44.0,8.0,136.0,T,49,189
Metro: Last Light,X360,2013,Action,0.17,0.15,0.0,0.03,0.35,80.0,20.0,8.4,440.0,,42,607
Jikkyou Powerful Pro Yakyuu 2000,N64,2000,Sports,0.0,0.0,0.29,0.06,0.35,,,,,,15,2
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,,Action,0.15,0.05,0.14,0.01,0.35,,,,,,34,2
Football Manager 2016,PC,2015,Simulation,0.0,0.33,0.0,0.02,0.35,81.0,34.0,6.9,97.0,E,9,181
Resident Evil: Dead Aim,PS2,2003,Action,0.17,0.13,0.0,0.04,0.35,65.0,28.0,6.6,48.0,M,13,268
Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009,Strategy,0.14,0.15,0.0,0.06,0.35,,,,,,8,2
Need for Speed Carbon,GC,2006,Racing,0.27,0.07,0.0,0.01,0.35,75.0,12.0,7.8,14.0,E10+,8,36
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GBA,2003,Action,0.25,0.09,0.0,0.01,0.35,,,,,E,29,194
FIFA Soccer 13,PSP,2012,Action,0.05,0.18,0.02,0.09,0.35,,,3.2,19.0,E,8,23
The Fairly Odd Parents: Shadow Showdown,PS2,2004,Platform,0.17,0.13,0.0,0.04,0.35,,,,,,29,2
EA Sports MMA,X360,2010,Fighting,0.23,0.09,0.0,0.02,0.35,79.0,63.0,7.0,55.0,T,8,58
Saban's Power Rangers: Lightspeed Rescue,PS,2000,Action,0.19,0.13,0.0,0.02,0.35,,,,,,29,2
Xbox Music Mixer,XB,2003,Misc,0.26,0.08,0.0,0.01,0.35,49.0,12.0,,,E,2,758
Defiance,PS3,2013,Shooter,0.19,0.1,0.0,0.06,0.35,59.0,21.0,6.9,145.0,M,149,530
Terminator Salvation,X360,2009,Shooter,0.13,0.18,0.0,0.04,0.35,48.0,50.0,5.0,53.0,T,20,619
CSI: Deadly Intent - The Hidden Cases,DS,2009,Adventure,0.16,0.15,0.0,0.04,0.35,,,,,,6,2
College Hoops 2K8,PS2,2007,Sports,0.17,0.13,0.0,0.04,0.35,66.0,4.0,,,E,3,84
Destiny: The Taken King,X360,2015,Shooter,0.24,0.08,0.0,0.03,0.35,,,4.4,59.0,T,5,12
Pac-Man All-Stars,PS3,2011,Fighting,0.2,0.07,0.04,0.04,0.35,,,,,,26,2
Guitar Hero: Metallica,PS2,2009,Misc,0.17,0.13,0.0,0.04,0.35,,,7.6,9.0,T,5,61
Guilty Gear X2,PS2,2002,Fighting,0.09,0.07,0.16,0.02,0.35,87.0,31.0,8.7,34.0,T,100,497
Chicken Shoot,Wii,2007,Action,0.32,0.0,0.0,0.02,0.35,27.0,9.0,4.8,26.0,E10+,84,759
Tom Clancy's Rainbow Six: Lockdown,PS2,2005,Shooter,0.17,0.13,0.0,0.04,0.35,70.0,15.0,6.9,9.0,M,6,703
From TV Animation One Piece: Tobidase Kaizokudan!,PS,2001,Role-Playing,0.0,0.0,0.32,0.02,0.35,,,,,,26,2
MotoGP 08,X360,2008,Racing,0.11,0.2,0.0,0.04,0.35,68.0,20.0,5.6,12.0,E,13,724
LEGO Marvel's Avengers,XOne,2016,Action,0.19,0.12,0.0,0.03,0.35,71.0,18.0,5.1,15.0,E10+,20,183
The Tale of Despereaux,PS2,2008,Platform,0.17,0.13,0.0,0.04,0.35,,,,,E10+,205,760
Aggressive Inline,PS2,2002,Sports,0.17,0.13,0.0,0.04,0.35,85.0,31.0,8.7,14.0,T,31,301
Mirror's Edge Catalyst,PS4,2016,Platform,0.11,0.16,0.02,0.05,0.35,69.0,50.0,4.7,578.0,T,8,30
Sniper Elite 3,XOne,2014,Shooter,0.2,0.11,0.0,0.03,0.35,63.0,12.0,6.6,68.0,M,12,249
Hello Kitty Daily,DS,2008,Misc,0.32,0.0,0.0,0.03,0.35,,,,,,125,2
NFL Street,GC,2004,Sports,0.27,0.07,0.0,0.01,0.35,81.0,30.0,8.0,4.0,E,8,58
Karaoke Revolution,PS2,2003,Misc,0.17,0.13,0.0,0.04,0.35,83.0,29.0,9.1,17.0,E,15,59
Metal Arms: Glitch in the System,PS2,2003,Shooter,0.17,0.13,0.0,0.04,0.35,81.0,28.0,8.9,17.0,T,24,75
Tropico 4,X360,,Strategy,0.2,0.12,0.0,0.03,0.35,77.0,18.0,7.5,37.0,T,206,761
Jikkyou Powerful Pro Yakyuu 7,PS2,2000,Sports,0.0,0.0,0.35,0.0,0.35,,,,,,15,2
Rally Cross 2,PS,1998,Racing,0.19,0.13,0.0,0.02,0.35,,,,,,44,2
EverGrace,PS2,2000,Role-Playing,0.1,0.08,0.15,0.03,0.35,59.0,12.0,7.8,4.0,T,6,164
Enemy Territory: Quake Wars,PS3,2008,Shooter,0.23,0.07,0.0,0.04,0.35,60.0,30.0,6.4,14.0,T,5,301
Lunar 2: Eternal Blue Complete,PS,1999,Role-Playing,0.19,0.13,0.0,0.02,0.35,86.0,12.0,8.9,37.0,T,154,10
Street Fighter Alpha: Warriors' Dreams,SAT,1996,Fighting,0.0,0.0,0.35,0.0,0.35,,,,,,13,2
Rugrats: Royal Ransom,PS2,2002,Platform,0.17,0.13,0.0,0.04,0.35,,,,,E,29,261
MLB 06: The Show,PSP,2006,Sports,0.32,0.0,0.0,0.03,0.35,83.0,30.0,8.5,32.0,E,4,422
Over the Hedge,GC,2006,Platform,0.27,0.07,0.0,0.01,0.35,61.0,21.0,9.3,6.0,E10+,5,143
Tomb Raider (2013),PC,,Action,0.06,0.25,0.0,0.04,0.35,86.0,18.0,8.5,3552.0,M,16,386
Charlie and the Chocolate Factory,PS2,2005,Adventure,0.17,0.13,0.0,0.04,0.35,35.0,21.0,4.1,28.0,E,63,762
TrackMania Turbo,PS4,2016,Action,0.03,0.26,0.0,0.05,0.35,81.0,52.0,7.9,110.0,E,6,763
Kurushi Final: Mental Blocks,PS,1998,Puzzle,0.0,0.0,0.32,0.02,0.34,,,,,,4,2
Risk / Battleship / Clue,GBA,2005,Misc,0.25,0.09,0.0,0.01,0.34,,,,,,84,2
Tiger Woods PGA Tour 12: The Masters,Wii,2011,Sports,0.2,0.11,0.0,0.03,0.34,85.0,14.0,6.7,7.0,E,8,23
Def Jam Icon,X360,2007,Action,0.3,0.01,0.0,0.03,0.34,69.0,48.0,6.3,108.0,M,8,253
SD Gundam G Generation World,PSP,2011,Strategy,0.0,0.0,0.34,0.0,0.34,,,,,,26,2
The Wild Thornberrys Movie,GBA,2002,Platform,0.25,0.09,0.0,0.01,0.34,,,,,E,29,505
High School Musical 3: Senior Year DANCE!,PS2,2008,Misc,0.17,0.13,0.0,0.04,0.34,,,,,,33,2
Hannah Montana: The Movie,Wii,2009,Adventure,0.13,0.18,0.0,0.04,0.34,,,,,E,33,375
Dynasty Warriors 5 Empires,PS2,2006,Action,0.11,0.09,0.12,0.03,0.34,62.0,23.0,9.1,24.0,T,49,189
Call of Duty: Ghosts,WiiU,2013,Shooter,0.22,0.09,0.01,0.03,0.34,69.0,6.0,3.4,256.0,M,5,7
Transformers: Dark of the Moon,PS3,2011,Action,0.11,0.18,0.0,0.06,0.34,57.0,41.0,5.6,27.0,T,5,73
SoulCalibur,DC,1999,Fighting,0.0,0.0,0.34,0.0,0.34,98.0,24.0,8.8,200.0,T,26,33
WipEout 3,PS,1999,Racing,0.19,0.13,0.0,0.02,0.34,89.0,14.0,8.5,15.0,E,85,694
UEFA Euro 2008 Austria-Switzerland,X360,2008,Sports,0.08,0.23,0.0,0.03,0.34,,,,,,8,2
SpongeBob's Boating Bash,Wii,2010,Misc,0.24,0.07,0.0,0.03,0.34,,,7.6,5.0,E,29,764
Classic NES Series: Ice Climber,GBA,2004,Platform,0.1,0.04,0.2,0.01,0.34,66.0,12.0,,,E,1,1
Pirates of the Caribbean: At World's End,DS,2007,Action,0.3,0.01,0.01,0.03,0.34,66.0,14.0,,,E10+,33,187
WWE '12,Wii,2011,Fighting,0.23,0.08,0.0,0.03,0.34,74.0,6.0,5.2,9.0,T,29,157
WWE All Stars,X360,2011,Fighting,0.18,0.14,0.0,0.03,0.34,75.0,64.0,7.2,45.0,T,29,167
Mini Ninjas,PS3,2009,Action,0.14,0.15,0.0,0.06,0.34,73.0,37.0,8.7,62.0,E10+,22,127
Tekken Tag Tournament 2,X360,2012,Fighting,0.19,0.11,0.01,0.03,0.34,83.0,35.0,7.5,90.0,T,26,146
Freeway,2600,1980,Action,0.32,0.02,0.0,0.0,0.34,,,,,,5,2
Driver 2 Advance,GBA,2002,Action,0.25,0.09,0.0,0.01,0.34,73.0,9.0,6.6,14.0,T,11,765
Monster Rancher 4,PS2,2003,Simulation,0.08,0.06,0.19,0.02,0.34,77.0,21.0,9.1,18.0,E,49,379
Mini Ninjas,DS,2009,Action,0.16,0.15,0.0,0.04,0.34,61.0,10.0,5.8,4.0,E10+,22,240
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,2004,Adventure,0.17,0.13,0.0,0.04,0.34,65.0,34.0,8.6,20.0,E10+,33,49
Iron Storm,SAT,1995,Shooter,0.0,0.0,0.34,0.0,0.34,,,,,,9,2
Battalion Wars 2,Wii,2007,Strategy,0.22,0.02,0.08,0.02,0.34,75.0,38.0,7.6,45.0,T,1,676
MotorStorm: Arctic Edge,PS2,2009,Racing,0.07,0.03,0.0,0.25,0.34,72.0,10.0,8.3,6.0,T,4,330
The Fairly Odd Parents: Shadow Showdown,GBA,2004,Platform,0.25,0.09,0.0,0.01,0.34,,,,,,29,2
Marvel Super Heroes,PS,1997,Fighting,0.19,0.13,0.0,0.02,0.34,,,,,,18,2
Super Bust-A-Move,PS2,2000,Puzzle,0.17,0.13,0.0,0.04,0.34,75.0,11.0,,,E,31,52
Hitman: Contracts,XB,2004,Shooter,0.26,0.07,0.0,0.01,0.34,78.0,44.0,8.8,15.0,M,22,127
Supreme Commander 2,X360,2010,Strategy,0.23,0.09,0.0,0.03,0.34,75.0,28.0,7.1,23.0,E10+,16,766
Thunderstrike: Operation Phoenix,PS2,2001,Simulation,0.17,0.13,0.0,0.04,0.34,65.0,15.0,8.1,7.0,T,22,57
Frostbite,2600,1983,Action,0.32,0.02,0.0,0.0,0.34,,,,,,5,2
Alien's Return,2600,1982,Action,0.32,0.02,0.0,0.0,0.34,,,,,,207,2
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016,Action,0.07,0.14,0.11,0.02,0.34,,,,,,1,2
Avatar: The Last Airbender - The Burning Earth,DS,2007,Action,0.31,0.0,0.0,0.03,0.34,,,,,,29,2
Racquet Sports,PS3,2010,Sports,0.11,0.17,0.0,0.06,0.34,45.0,17.0,4.3,8.0,E,6,453
Company of Heroes 2,PC,2013,Strategy,0.06,0.25,0.0,0.04,0.34,80.0,82.0,2.1,6157.0,M,29,587
Trauma Center: Second Opinion,Wii,2006,Simulation,0.28,0.01,0.03,0.03,0.34,80.0,49.0,8.0,47.0,T,1,356
DanceDanceRevolution,Wii,2010,Simulation,0.28,0.04,0.0,0.02,0.34,,,,,E,15,70
WWE Day of Reckoning 2,GC,2005,Fighting,0.26,0.07,0.0,0.01,0.34,76.0,36.0,6.0,263.0,T,29,157
NBA 2K12,Wii,2011,Sports,0.29,0.03,0.0,0.02,0.34,,,6.8,6.0,E,3,84
The Urbz: Sims in the City,XB,2004,Simulation,0.22,0.11,0.0,0.01,0.34,70.0,28.0,6.5,10.0,T,8,90
Fantastic Voyage,2600,1981,Action,0.32,0.02,0.0,0.0,0.34,,,,,,122,2
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PS3,2010,Sports,0.09,0.19,0.0,0.07,0.34,,,,,,9,2
Night Warriors: Darkstalkers' Revenge,SAT,1995,Fighting,0.0,0.0,0.34,0.0,0.34,,,,,,18,2
Rayman Legends,XOne,2014,Platform,0.13,0.18,0.0,0.03,0.34,91.0,6.0,7.9,218.0,E10+,6,196
SpongeBob SquarePants: The Yellow Avenger,DS,2005,Action,0.31,0.0,0.0,0.02,0.34,67.0,5.0,7.6,10.0,E,29,767
Monopoly,PS3,2008,Misc,0.25,0.05,0.0,0.04,0.34,54.0,4.0,6.7,13.0,E,8,23
SimCity Creator,DS,2008,Simulation,0.29,0.02,0.0,0.03,0.34,69.0,16.0,7.3,8.0,E,8,23
Off Road Challenge,N64,1998,Racing,0.27,0.06,0.0,0.0,0.34,,,,,,14,2
Tenchu Z,X360,2006,Action,0.27,0.02,0.02,0.03,0.34,56.0,51.0,7.3,58.0,M,2,350
Bank Heist,2600,1982,Action,0.32,0.02,0.0,0.0,0.34,,,,,,122,2
Conan,PS3,2007,Action,0.13,0.15,0.0,0.05,0.34,69.0,35.0,7.2,40.0,M,29,278
Backstreet Billiards,PS,1998,Misc,0.19,0.13,0.0,0.02,0.34,,,,,,50,2
Carnival,2600,1981,Shooter,0.32,0.02,0.0,0.0,0.34,,,,,,69,2
Leisure Suit Larry: Magna Cum Laude,PS2,2004,Adventure,0.17,0.13,0.0,0.04,0.34,60.0,44.0,6.3,18.0,M,24,338
MVP 06 NCAA Baseball,XB,2006,Sports,0.25,0.07,0.0,0.01,0.34,75.0,29.0,8.6,17.0,E,8,36
Naruto Shippuden: Ultimate Ninja Impact,PSP,2011,Fighting,0.09,0.07,0.15,0.04,0.34,59.0,16.0,7.2,26.0,T,26,590
Momotarou Dentetsu DS: Tokyo & Japan,DS,2007,Misc,0.0,0.0,0.34,0.0,0.34,,,,,,68,2
Point Blank,PS,1997,Shooter,0.05,0.03,0.23,0.02,0.34,,,,,,4,2
Disney Infinity 3.0,XOne,2015,Action,0.2,0.11,0.0,0.03,0.34,,,,,,33,2
Speed Racer: The Videogame,DS,2008,Racing,0.28,0.04,0.0,0.03,0.34,,,,,,20,2
F.E.A.R.,X360,2006,Shooter,0.28,0.03,0.0,0.03,0.34,85.0,44.0,7.3,131.0,M,24,352
Tiny Tank,PS,1998,Action,0.19,0.13,0.0,0.02,0.34,,,,,,4,2
Yu-Gi-Oh! 5D's Tag Force 5,PSP,2010,Strategy,0.13,0.04,0.14,0.03,0.34,,,,,,15,2
Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011,Strategy,0.22,0.09,0.0,0.03,0.34,77.0,49.0,7.9,78.0,T,6,13
Smart Girl's Party Game,DS,2008,Misc,0.31,0.0,0.0,0.02,0.34,,,,,E,12,768
Spy Hunter,XB,2002,Racing,0.25,0.07,0.0,0.01,0.34,71.0,19.0,,,T,40,625
James Bond 007: Legends,PS3,2012,Shooter,0.11,0.16,0.0,0.07,0.34,,,,,,5,2
The Sims 3: Town Life Stuff,PC,2011,Simulation,0.11,0.17,0.0,0.05,0.34,,,6.3,14.0,T,8,24
Herbie: Fully Loaded,GBA,2005,Racing,0.24,0.09,0.0,0.01,0.34,47.0,9.0,6.8,4.0,E,33,769
Teenage Mutant Ninja Turtles,GC,2003,Action,0.26,0.07,0.0,0.01,0.34,57.0,25.0,8.0,8.0,E,15,70
Kameo: Elements of Power,X360,2005,Action,0.28,0.03,0.0,0.03,0.34,79.0,76.0,8.1,107.0,T,2,44
Football Manager Handheld 2008,PSP,2007,Sports,0.0,0.33,0.0,0.0,0.34,,,,,,9,2
Dynasty Warriors 6 Empires,PS3,2009,Action,0.14,0.03,0.15,0.02,0.34,62.0,22.0,7.0,26.0,T,49,189
The Shoot,PS3,2010,Shooter,0.13,0.15,0.01,0.05,0.34,60.0,39.0,6.2,11.0,T,4,770
Disney Sing It: Pop Hits,PS2,2009,Misc,0.1,0.02,0.0,0.22,0.34,,,,,,33,2
Dead or Alive 5,PS4,2015,Fighting,0.09,0.13,0.08,0.04,0.34,,,,,,49,2
My Baby Boy,DS,2008,Simulation,0.3,0.01,0.0,0.03,0.34,,,,,E,125,486
Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,0.28,0.0,0.03,0.02,0.34,82.0,41.0,8.7,32.0,E10+,58,113
Dynasty Warriors: Gundam 2,PS2,2008,Action,0.04,0.03,0.25,0.01,0.34,52.0,8.0,6.5,8.0,T,26,189
Star Ocean: Second Evolution,PSP,2008,Role-Playing,0.14,0.01,0.16,0.02,0.34,75.0,37.0,7.1,26.0,T,16,92
Imagine: Movie Star,DS,2008,Simulation,0.31,0.0,0.0,0.03,0.34,,,,,E,6,771
Fade to Black,PS,1996,Action,0.19,0.13,0.0,0.02,0.34,,,,,,8,2
MXRider,PS2,2001,Racing,0.16,0.13,0.0,0.04,0.34,69.0,16.0,6.8,6.0,E,11,252
Disney Magic World 2,3DS,2015,Action,0.02,0.11,0.19,0.01,0.34,,,,,,1,2
Delta Force: Black Hawk Down,XB,2005,Shooter,0.25,0.07,0.0,0.01,0.34,61.0,37.0,6.6,19.0,T,174,343
Pirates of the Caribbean: At World's End,X360,2007,Action,0.29,0.02,0.0,0.03,0.34,58.0,42.0,5.3,21.0,T,33,104
Angry Birds Star Wars,3DS,2013,Strategy,0.15,0.15,0.0,0.03,0.34,,,3.0,8.0,E,5,294
World Championship Poker 2: Featuring Howard Lederer,PS2,2005,Misc,0.16,0.13,0.0,0.04,0.34,67.0,20.0,,,T,60,625
The Eye of Judgment,PS3,2007,Misc,0.28,0.0,0.02,0.03,0.33,75.0,43.0,8.2,51.0,T,4,652
Sengoku Musou 3 Z,PS3,2011,Action,0.0,0.0,0.33,0.0,0.33,,,,,,208,2
Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006,Shooter,0.21,0.11,0.0,0.01,0.33,66.0,14.0,6.0,27.0,T,6,150
Iron Man 2,DS,2010,Action,0.14,0.16,0.0,0.03,0.33,54.0,7.0,,,E10+,9,722
Tokyo Highway Battle,PS,1996,Racing,0.06,0.04,0.21,0.02,0.33,,,,,,163,2
NHL 09,PS3,2008,Sports,0.29,0.02,0.0,0.03,0.33,88.0,25.0,7.7,41.0,E10+,8,36
World of Final Fantasy,PS4,2016,Role-Playing,0.08,0.14,0.08,0.04,0.33,77.0,74.0,8.3,222.0,E10+,16,47
Beyond Good & Evil,PS2,2003,Adventure,0.16,0.13,0.0,0.04,0.33,,,,,,6,2
Banjo-Kazooie: Grunty's Revenge,GBA,2003,Platform,0.24,0.09,0.0,0.01,0.33,72.0,21.0,8.1,18.0,E,29,44
Bomberman World,PS,1998,Puzzle,0.06,0.04,0.22,0.02,0.33,,,,,,4,2
Bejeweled 3,DS,,Puzzle,0.29,0.02,0.0,0.02,0.33,75.0,9.0,,,E,34,365
NHL 17,PS4,2016,Sports,0.19,0.08,0.0,0.06,0.33,78.0,26.0,5.8,67.0,E10+,8,772
Mega Man ZX Advent,DS,2007,Platform,0.22,0.0,0.09,0.02,0.33,78.0,27.0,8.6,32.0,E10+,13,773
Transformers: Revenge of the Fallen (DS Versions),DS,2009,Action,0.17,0.13,0.0,0.03,0.33,,,,,,5,2
NCAA Basketball 10,PS3,2009,Sports,0.31,0.0,0.0,0.03,0.33,75.0,17.0,7.8,6.0,E,8,36
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,0.07,0.09,0.15,0.03,0.33,,,,,,16,2
Jeanne d'Arc,PSP,2006,Role-Playing,0.21,0.0,0.1,0.02,0.33,87.0,45.0,8.2,74.0,T,4,50
Deathtrap Dungeon,PS,1998,Action,0.19,0.13,0.0,0.02,0.33,,,,,,22,2
Tales of the World: Radiant Mythology 2,PSP,2009,Role-Playing,0.0,0.0,0.33,0.0,0.33,,,,,,26,2
Night at the Museum: Battle of the Smithsonian,DS,2009,Action,0.12,0.18,0.0,0.04,0.33,,,,,E,36,774
Harry Potter and the Deathly Hallows - Part 2,X360,2011,Action,0.19,0.11,0.0,0.03,0.33,44.0,31.0,5.4,24.0,T,8,286
Avatar: The Last Airbender,DS,2006,Adventure,0.3,0.01,0.0,0.03,0.33,64.0,9.0,6.4,7.0,E,29,92
Ape Escape Academy,PSP,2004,Misc,0.13,0.15,0.0,0.05,0.33,51.0,48.0,5.8,4.0,E10+,4,709
WWE Wrestlemania XIX,GC,2003,Fighting,0.26,0.07,0.0,0.01,0.33,76.0,26.0,8.7,47.0,T,29,157
The Sims 2,GC,2005,Simulation,0.26,0.07,0.0,0.01,0.33,73.0,22.0,8.3,8.0,T,8,90
Hulk,XB,2003,Action,0.25,0.07,0.0,0.01,0.33,69.0,25.0,7.7,9.0,T,21,312
Untold Legends: The Warriors Code,PSP,2006,Role-Playing,0.14,0.12,0.0,0.08,0.33,65.0,46.0,8.3,28.0,T,6,361
Klonoa 2: Lunatea's Veil,PS2,2001,Platform,0.12,0.1,0.08,0.03,0.33,91.0,18.0,9.1,72.0,E,4,33
Deus Ex: Invisible War,XB,2003,Shooter,0.25,0.07,0.0,0.01,0.33,84.0,50.0,7.6,37.0,M,22,775
Disney's Treasure Planet,PS2,2002,Action,0.16,0.13,0.0,0.04,0.33,,,,,E,4,188
NASCAR Thunder 2002,XB,2001,Racing,0.25,0.07,0.0,0.01,0.33,82.0,17.0,,,E,8,58
The King of Fighters XIII,X360,2011,Fighting,0.23,0.06,0.01,0.03,0.33,79.0,31.0,8.2,51.0,T,70,776
BeatMania Append GottaMix,PS,1999,Simulation,0.0,0.0,0.31,0.02,0.33,,,,,,15,2
Tak 2: The Staff of Dreams,GC,2004,Platform,0.26,0.07,0.0,0.01,0.33,75.0,22.0,8.6,8.0,E,29,261
